,SPX/VIX inst_corr,SPX/VIX hist_corr,LBEATREU/M1CXIAMA inst_corr,LBEATREU/M1CXIAMA hist_corr,GBIEMDCW/SHCOMP inst_corr,GBIEMDCW/SHCOMP hist_corr
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,0.032395020642829016,,,
107,,,0.5468921563935246,,,
108,,,0.7718770718018007,,,
109,,,0.9702175265262442,,,
110,,,0.9702175265262442,,,
111,,,0.784992316903607,,,
112,,,0.16057434178120542,,,
113,,,0.4003995979245382,,,
114,-2.1401884722926865,,0.8471020589017298,,,
115,-2.1401884722926865,,0.9337327153461713,,,
116,-2.1401884722926865,,0.9447752904345406,,,
117,-2.1401884722926865,,0.9003308479712648,,,
118,-2.1401884722926865,,0.9067163956624048,,,
119,-2.1401884722926865,,0.9067163956624048,,,
120,-2.1401884722926865,,0.9067163956624048,,,
121,-2.1401884722926865,,0.9067163956624048,,,
122,-2.1401884722926865,,0.9067163956624048,,,
123,-2.1401884722926865,,0.9067163956624048,,,
124,-2.1401884722926865,,0.9067163956624048,,,
125,-2.1401884722926865,,0.994442849904376,,,
126,-2.1401884722926865,,0.994442849904376,,,
127,-2.1401884722926865,,0.7507049566090017,0.4634675694219488,,
