,FNERTR/M1CXIAMA inst_corr,FNERTR/M1CXIAMA hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,-0.05829990095529421,
113,-0.2862836796272991,
114,-0.5665441253793445,
115,-0.5972427365520337,
116,-0.8503556238011056,
117,-0.8967048229692085,
118,-0.8967048229692085,
119,-0.8610964842465864,
120,-0.45746757974483915,
121,-0.44509837335052105,
122,-0.7331787323005694,
123,-0.3909303163933618,
124,-0.3887984855730136,
125,-0.39259191016929085,
126,-0.19032695336687233,
127,-0.19398989059228886,
128,-0.3548635111799535,
129,-0.421733285190855,
130,-0.12969219415710756,
131,0.47891748595794714,
132,0.5008128453597867,
133,0.15708484081134808,-0.06072821350468396
134,0.09674206268755735,-0.2159841667509162
135,0.026855033887083306,-0.2129270385448093
136,-0.15777975744001624,-0.18421120512275402
137,0.1089902924046055,-0.01544562579907356
138,0.55421558485288,0.056627342329771145
139,0.6128880088300892,0.08330367583481255
140,-0.7369817846257858,0.1031841343619714
141,-0.6105866105575637,-0.04974755106269394
142,-0.4218580357671513,-0.07270430980031908
143,-0.19629873297834488,-0.059801793042090656
144,-0.004209721827951527,-0.0755384971570191
145,-0.1327809705982217,-0.10092231979919385
146,-0.08395460925852595,0.1261245250371113
147,-0.132767475779031,0.08272756672869268
148,-0.17022598555444088,0.0814251798854021
149,-0.33480810042657877,0.08140191444922135
150,-0.5367564283744528,0.00551237001276298
151,-0.45254953461902864,0.0029846794996868046
152,-0.06297440502867338,-0.020462246762079306
153,-0.11870354012487802,-0.0065051944716133766
154,-0.6507480616969644,-0.1394758115937505
155,-0.6778316470112288,-0.1998820715490914
156,-0.6966168194974011,-0.4532919148460919
157,-0.6414883423289947,-0.4602659104859206
158,-0.10307975413486008,-0.4387712921853948
159,0.07663987608078363,-0.4519155478375476
160,-0.052151836371218785,-0.49961075435289976
161,-0.2332754872470365,-0.5548913036997087
162,0.12319103587864859,-0.551886842249552
163,-0.14701150566888319,-0.5133436290399057
