,FNERTR/JPEIGLBL inst_corr,FNERTR/JPEIGLBL hist_corr,LG30TRUU/NAGLAS inst_corr,LG30TRUU/NAGLAS hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,-0.15732232127351115,
107,,,-0.19352309743785168,
108,,,0.4396565385605895,
109,,,0.4396565385605895,
110,,,0.8114352760318655,
111,,,0.7546922633795412,
112,,,0.6361289923248651,
113,,,0.8216996470268003,
114,,,0.8029110609016413,
115,,,0.8029110609016413,
116,,,0.6808317797300979,
117,,,0.3896065728949597,
118,,,0.5475149515371373,
119,,,0.5475149515371373,
120,0.12052720303660858,,0.5475149515371373,
121,0.8295329889893283,,0.5475149515371373,
122,0.8295329889893283,,0.5475149515371373,
123,0.901094245281086,,0.5475149515371373,
124,0.901094245281086,,0.5475149515371373,
125,0.901094245281086,,0.5475149515371373,
126,0.7492709571169376,,0.5475149515371373,
127,0.34643505109234524,,0.5475149515371373,0.24053952209271853
128,0.2768584774417679,,0.9130408655082591,0.23142762220207624
129,0.22487610915128248,,0.8220763734544357,0.3120405376465127
130,0.7342574206930268,,0.7751073924261253,0.27131757870278506
131,0.594220447309367,,0.8410509793008675,0.3179698577165583
132,0.6235586513868562,,0.8410509793008675,0.3607076596629127
133,0.8836263966197675,,0.8410509793008675,0.3940026243699827
134,0.8836263966197675,,0.9857706840802241,0.47661007358192264
135,0.8836263966197675,,0.8221171636119351,0.43979617407892796
136,0.5242166804477936,,0.9090965384340292,0.45175618456414945
137,0.5151720170226877,,0.9090965384340292,0.39357879951074753
138,0.15506218742327912,,0.2542702010745329,0.3689791279502735
