,FNERTR/FTMIGMI inst_corr,FNERTR/FTMIGMI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,-0.09495349456533468,
113,-0.2977830378550341,
114,-0.4692157593861538,
115,-0.4441485880439075,
116,-0.945021897260826,
117,-0.6526368255400485,
118,0.29049967386485326,
119,0.34552131793019164,
120,-0.05345479706321231,
121,-0.29545010785352216,
122,-0.5232847202024561,
123,-0.08520625963446635,
124,-0.03721965261830312,
125,0.00356570960974471,
126,0.28458655377595893,
127,0.28132880665747323,
128,-0.20014742514483685,
129,-0.4247660926103496,
130,-0.3426371051565974,
131,-0.43545957851457656,
132,-0.304075168097625,
133,0.20332219856667264,-0.28838637441428155
134,0.2804625470079768,-0.1751147049154564
135,0.6239877787772385,-0.1539702337985036
136,0.44079300595148435,-0.06524236054293107
137,0.1381702150149963,0.10512725420159504
138,0.34207000835030615,0.1739669399054874
139,0.42018134097734106,0.2102926440151816
140,0.25244485088025165,0.19022579831146724
141,0.3404797295005388,0.1530449125882968
142,0.2290852836150682,0.15728416526743966
143,-0.1973031010656904,0.16380030314676633
144,0.04233032194316435,0.21459881316804902
145,0.2917787632600729,0.19905540781087777
146,0.46094974361909513,0.18805272167855197
147,0.22926774334595998,0.12679798198605902
148,-0.16651956055564615,0.1419188036443177
149,0.010972601706976297,0.12710009929086236
150,-0.19828157125270773,0.26241154723960597
151,-0.3419747795500946,0.16767482398556774
152,-0.12139941186714197,0.18033937485913368
153,0.35926315028932876,0.3558866407844962
154,0.19874618562191343,0.462890014992152
155,-0.2802816935058293,0.32108555489027896
156,-0.5212391568186293,-0.02580120114168679
157,-0.4183787206844502,-0.05133846797992937
158,0.21921287567647754,-0.0063940569704677794
159,0.29470318700085124,-0.030544507275609315
160,0.17215336776666584,-0.008241734875564836
161,-0.08377462520971533,-0.10052186270927002
162,-0.09355733383445977,-0.09285506880938532
163,-0.3565909077704394,-0.14418489809996635
164,-0.3339479959827924,-0.1465697427878427
165,-0.17779137213353335,-0.14452644380504454
